input technique,input type,subject id,timestamp,time needed in ms,input
default,key pressed,4,2017-06-21 21:06:33.917948,0.000019,"t"
default,key pressed,4,2017-06-21 21:06:34.027445,0.109463,"h"
default,key pressed,4,2017-06-21 21:06:34.136655,0.109168,"e"
default,key pressed,4,2017-06-21 21:06:34.279834,0.143154," "
default,key pressed,4,2017-06-21 21:06:34.695844,0.415981,"q"
default,word typed,4,2017-06-21 21:06:34.695919,0.777990,"the q"
default,key pressed,4,2017-06-21 21:06:34.823873,0.128003,"u"
default,key pressed,4,2017-06-21 21:06:34.984665,0.160752,"i"
default,key pressed,4,2017-06-21 21:06:35.247833,0.263141,"c"
default,key pressed,4,2017-06-21 21:06:35.367913,0.120051,"k"
default,key pressed,4,2017-06-21 21:06:35.847749,0.479806," "
default,word typed,4,2017-06-21 21:06:35.847821,1.151896,"uick "
default,key pressed,4,2017-06-21 21:06:36.207836,0.360057,"b"
default,key pressed,4,2017-06-21 21:06:36.463891,0.256026,"r"
default,key pressed,4,2017-06-21 21:06:36.592032,0.128110,"o"
default,key pressed,4,2017-06-21 21:06:36.759960,0.167899,"w"
default,key pressed,4,2017-06-21 21:06:36.960392,0.200379,"n"
default,word typed,4,2017-06-21 21:06:36.960608,1.112760,"brown"
default,key pressed,4,2017-06-21 21:06:37.439916,0.479505," "
default,key pressed,4,2017-06-21 21:06:37.680440,0.240495,"f"
default,key pressed,4,2017-06-21 21:06:37.775854,0.095389,"o"
default,key pressed,4,2017-06-21 21:06:37.911962,0.136075,"x"
default,key pressed,4,2017-06-21 21:06:38.479910,0.567923," "
default,word typed,4,2017-06-21 21:06:38.479997,1.519387," fox "
default,key pressed,4,2017-06-21 21:06:38.968775,0.488820,"j"
default,key pressed,4,2017-06-21 21:06:39.200512,0.231677,"u"
default,key pressed,4,2017-06-21 21:06:39.496058,0.295542,"p"
default,key pressed,4,2017-06-21 21:06:40.016071,0.519981,"u"
default,key pressed,4,2017-06-21 21:06:40.240888,0.224747,"m"
default,word typed,4,2017-06-21 21:06:40.241041,1.761018,"x jum"
default,key pressed,4,2017-06-21 21:06:40.304062,0.063179,"p"
default,key pressed,4,2017-06-21 21:06:40.488045,0.183951,"s"
default,key pressed,4,2017-06-21 21:06:40.911894,0.423825," "
default,key pressed,4,2017-06-21 21:06:41.111923,0.200002,"o"
default,key pressed,4,2017-06-21 21:06:41.560194,0.448220,"v"
default,word typed,4,2017-06-21 21:06:41.560293,1.319255,"ps ov"
