input technique;input type;timestamp;time needed in ms;input
novel;key pressed;2017-06-20 20:07:17.333444;0.000016;"j"
novel;key pressed;2017-06-20 20:07:19.389385;2.055931;"l"
novel;key pressed;2017-06-20 20:07:21.606158;2.216703;"m"
novel;key pressed;2017-06-20 20:07:22.839939;1.233796;"b"
novel;key pressed;2017-06-20 20:07:23.886369;1.046403;"s"
novel;word typed;2017-06-20 20:07:23.886514;6.553099;"big s"
novel;key pressed;2017-06-20 20:07:25.099836;1.213443;"o"
novel;key pressed;2017-06-20 20:07:26.291382;1.191516;"q"
novel;sentence typed;2017-06-20 20:07:27.542117;10.208669;"jackdaws love my big sphinx of quartz "
novel;key pressed;2017-06-20 20:07:28.691225;2.399815;"t"
novel;key pressed;2017-06-20 20:07:29.847485;1.156206;"q"
novel;key pressed;2017-06-20 20:07:31.011642;1.164128;"b"
novel;key pressed;2017-06-20 20:07:32.315670;1.304002;"f"
novel;key pressed;2017-06-20 20:07:33.718834;1.403136;"j"
novel;word typed;2017-06-20 20:07:33.718976;9.832461;"fox j"
novel;key pressed;2017-06-20 20:07:34.898103;1.179198;"o"
novel;key pressed;2017-06-20 20:07:36.253679;1.355554;"t"
novel;key pressed;2017-06-20 20:07:37.387568;1.133861;"l"
novel;key pressed;2017-06-20 20:07:38.425988;1.038334;"d"
novel;sentence typed;2017-06-20 20:07:39.407802;11.865662;"the quick brown fox jumps over the lazy dog "
novel;key pressed;2017-06-20 20:07:40.424104;1.998141;"t"
novel;key pressed;2017-06-20 20:07:41.528884;1.104754;"f"
novel;key pressed;2017-06-20 20:07:42.706348;1.177407;"n"
novel;key pressed;2017-06-20 20:07:43.418239;0.711839;" "
novel;key pressed;2017-06-20 20:07:43.534947;0.116691;"b"
novel;word typed;2017-06-20 20:07:43.535148;9.816162;"ive b"
novel;key pressed;2017-06-20 20:07:44.813891;1.278919;"w"
novel;key pressed;2017-06-20 20:07:46.345059;1.531139;"j"
novel;key pressed;2017-06-20 20:07:47.612874;1.267788;"q"
novel;sentence typed;2017-06-20 20:07:48.815157;9.407328;"the five boxing wizards jump quickly "
novel;key pressed;2017-06-20 20:07:49.974545;2.361646;"t"
novel;key pressed;2017-06-20 20:07:51.590930;1.616353;"q"
novel;key pressed;2017-06-20 20:07:52.904258;1.313301;"o"
novel;key pressed;2017-06-20 20:07:54.582107;1.677818;"g"
novel;key pressed;2017-06-20 20:07:55.689910;1.107775;"j"
novel;word typed;2017-06-20 20:07:55.690059;12.154901;"lin j"
novel;key pressed;2017-06-20 20:07:56.949866;1.259929;"a"
novel;key pressed;2017-06-20 20:07:57.963972;1.014072;"t"
novel;key pressed;2017-06-20 20:07:59.588393;1.624357;"l"
novel;key pressed;2017-06-20 20:08:00.871596;1.283184;"d"
novel;sentence typed;2017-06-20 20:08:02.262969;13.447784;"the quick onyx goblin jumps above the lazy dwarf "
novel;key pressed;2017-06-20 20:08:03.317798;2.446175;"j"
novel;key pressed;2017-06-20 20:08:04.550447;1.232619;"q"
novel;key pressed;2017-06-20 20:08:05.650267;1.099790;"r"
novel;key pressed;2017-06-20 20:08:06.727780;1.077477;"t"
novel;key pressed;2017-06-20 20:08:08.480172;1.752355;"b"
novel;word typed;2017-06-20 20:08:08.480315;12.790248;"hat b"
novel;key pressed;2017-06-20 20:08:09.820626;1.340425;"g"
novel;key pressed;2017-06-20 20:08:10.735989;0.915334;"a"
novel;key pressed;2017-06-20 20:08:12.327272;1.591256;"e"
novel;sentence typed;2017-06-20 20:08:13.385626;11.122630;"jim quickly realized that beautiful gowns are expensive "
novel;key pressed;2017-06-20 20:08:14.502465;2.175168;"m"
novel;key pressed;2017-06-20 20:08:15.434318;0.931813;"g"
novel;key pressed;2017-06-20 20:08:16.466565;1.032226;"w"
novel;key pressed;2017-06-20 20:08:17.526268;1.059678;"s"
novel;key pressed;2017-06-20 20:08:18.394930;0.868603;"d"
novel;word typed;2017-06-20 20:08:18.395227;9.914899;"six d"
novel;key pressed;2017-06-20 20:08:19.538254;1.143295;"p"
novel;key pressed;2017-06-20 20:08:20.733636;1.195354;"j"
novel;key pressed;2017-06-20 20:08:21.946790;1.213125;"b"
novel;key pressed;2017-06-20 20:08:23.168877;1.222063;"h"
novel;key pressed;2017-06-20 20:08:24.271991;1.103090;"q"
novel;word typed;2017-06-20 20:08:24.272124;5.876890;" he q"
novel;sentence typed;2017-06-20 20:08:25.744009;12.358356;"my girl wove six dozen plaid jackets before he quit "
novel;key pressed;2017-06-20 20:08:25.772445;1.500412;"#"
novel;key pressed;2017-06-20 20:08:26.749178;0.976698;""
novel;key pressed;2017-06-20 20:08:27.418883;0.669680;"c"
novel;key pressed;2017-06-20 20:08:28.954812;1.535897;"f"
novel;key pressed;2017-06-20 20:08:30.718278;1.763418;"b"
novel;word typed;2017-06-20 20:08:30.718421;6.446287;"ick b"
novel;key pressed;2017-06-20 20:08:32.384950;1.666650;"m"
novel;key pressed;2017-06-20 20:08:33.576368;1.191395;"v"
novel;key pressed;2017-06-20 20:08:34.526043;0.949637;"e"
