input technique,input type,subject id,timestamp,time needed in ms,input
default,key pressed,1,2017-06-21 11:31:32.083896,0.000076,"j"
default,key pressed,1,2017-06-21 11:31:32.164383,0.080476,"a"
default,key pressed,1,2017-06-21 11:31:32.449386,0.284816,"c"
default,key pressed,1,2017-06-21 11:31:32.606411,0.156983,"k"
default,key pressed,1,2017-06-21 11:31:32.802800,0.196337,"s"
default,word typed,1,2017-06-21 11:31:32.802985,0.720778,"jacks"
default,key pressed,1,2017-06-21 11:31:33.433033,0.630178,"k"
default,key pressed,1,2017-06-21 11:31:33.536301,0.103199,"d"
default,key pressed,1,2017-06-21 11:31:33.728813,0.192455,"a"
default,key pressed,1,2017-06-21 11:31:34.004100,0.275143,"w"
default,key pressed,1,2017-06-21 11:31:34.557792,0.553643,"s"
default,word typed,1,2017-06-21 11:31:34.557971,1.754967,"kdaws"
default,key pressed,1,2017-06-21 11:31:34.720266,0.162409," "
default,key pressed,1,2017-06-21 11:31:34.924908,0.204581,"l"
default,key pressed,1,2017-06-21 11:31:35.110078,0.184960,"o"
default,key pressed,1,2017-06-21 11:31:35.220674,0.110544,"v"
default,key pressed,1,2017-06-21 11:31:35.353332,0.132605,"e"
default,word typed,1,2017-06-21 11:31:35.353592,0.795592," love"
default,key pressed,1,2017-06-21 11:31:35.550013,0.196611," "
default,key pressed,1,2017-06-21 11:31:35.724918,0.174842,"m"
default,key pressed,1,2017-06-21 11:31:35.955065,0.230087,"y"
default,key pressed,1,2017-06-21 11:31:36.137050,0.181854," "
default,key pressed,1,2017-06-21 11:31:36.337346,0.200296,"b"
default,word typed,1,2017-06-21 11:31:36.337528,0.983924," my b"
default,key pressed,1,2017-06-21 11:31:36.502755,0.165346,"i"
default,key pressed,1,2017-06-21 11:31:36.695947,0.193136,"g"
default,key pressed,1,2017-06-21 11:31:36.862465,0.166358," "
default,key pressed,1,2017-06-21 11:31:37.403560,0.541066,"s"
default,key pressed,1,2017-06-21 11:31:37.637033,0.233465,"p"
default,word typed,1,2017-06-21 11:31:37.637577,1.300015,"ig sp"
default,key pressed,1,2017-06-21 11:31:39.123111,1.486018,"h"
default,key pressed,1,2017-06-21 11:31:39.794137,0.670860,"i"
default,key pressed,1,2017-06-21 11:31:39.981767,0.187583,"n"
default,key pressed,1,2017-06-21 11:31:40.250612,0.268781,"g"
default,key pressed,1,2017-06-21 11:31:41.037651,0.786974," "
default,word typed,1,2017-06-21 11:31:41.038324,3.400717,"hing "
default,key pressed,1,2017-06-21 11:31:41.202569,0.164854,"o"
default,key pressed,1,2017-06-21 11:31:41.335064,0.132433,"f"
default,key pressed,1,2017-06-21 11:31:41.475788,0.140535," "
default,key pressed,1,2017-06-21 11:31:41.722359,0.246637,"q"
default,key pressed,1,2017-06-21 11:31:41.899717,0.177291,"u"
default,word typed,1,2017-06-21 11:31:41.900421,0.862069,"of qu"
default,key pressed,1,2017-06-21 11:31:42.144341,0.244562,"a"
default,key pressed,1,2017-06-21 11:31:42.355619,0.210408,"r"
default,key pressed,1,2017-06-21 11:31:42.592874,0.237962,"t"
default,key pressed,1,2017-06-21 11:31:42.908105,0.315130,"z"
default,sentence typed,1,2017-06-21 11:31:43.253178,11.170955,"jackdaws love my big sphing of quartz"
