input technique,input type,subject id,timestamp,time needed in ms,input
novel,key pressed,3,2017-06-21 14:57:03.291055,0.000020,"j"
novel,key pressed,3,2017-06-21 14:57:04.591685,1.300595,"l"
novel,key pressed,3,2017-06-21 14:57:05.562308,0.970598,"m"
novel,key pressed,3,2017-06-21 14:57:06.630019,1.067685,"b"
novel,key pressed,3,2017-06-21 14:57:07.713580,1.083534,"s"
novel,word typed,3,2017-06-21 14:57:07.713654,4.422621,"big s"
novel,key pressed,3,2017-06-21 14:57:08.986624,1.273017,"o"
novel,key pressed,3,2017-06-21 14:57:10.019846,1.033193,"q"
novel,sentence typed,3,2017-06-21 14:57:10.990637,7.699574,"jackdaws love my big sphinx of quartz "
novel,key pressed,3,2017-06-21 14:57:12.074284,2.054419,"t"
novel,key pressed,3,2017-06-21 14:57:13.204218,1.129904,"f"
novel,key pressed,3,2017-06-21 14:57:14.323230,1.118955,"b"
novel,key pressed,3,2017-06-21 14:57:15.421906,1.098679,"w"
novel,key pressed,3,2017-06-21 14:57:16.508727,1.086788,"j"
novel,word typed,3,2017-06-21 14:57:16.508891,8.795221,"rds j"
novel,key pressed,3,2017-06-21 14:57:18.061543,1.552790,"q"
novel,sentence typed,3,2017-06-21 14:57:18.908346,7.917686,"the five boxing wizards jump quickly "
novel,key pressed,3,2017-06-21 14:57:19.818907,1.757344,"t"
novel,key pressed,3,2017-06-21 14:57:20.871203,1.052270,"b"
novel,key pressed,3,2017-06-21 14:57:21.559109,0.687880," "
novel,key pressed,3,2017-06-21 14:57:21.710027,0.150889,"q"
novel,key pressed,3,2017-06-21 14:57:22.992335,1.282248,"b"
novel,word typed,3,2017-06-21 14:57:22.992496,6.483597,"ick b"
novel,key pressed,3,2017-06-21 14:57:24.034606,1.042280,"f"
novel,key pressed,3,2017-06-21 14:57:25.142469,1.107836,"j"
novel,key pressed,3,2017-06-21 14:57:26.294574,1.152075,"o"
novel,key pressed,3,2017-06-21 14:57:27.248272,0.953663,"t"
novel,key pressed,3,2017-06-21 14:57:28.511255,1.262969,"l"
novel,word typed,3,2017-06-21 14:57:28.511385,5.518886,"the l"
novel,key pressed,3,2017-06-21 14:57:29.353921,0.842637,"d"
novel,sentence typed,3,2017-06-21 14:57:30.242299,11.333923,"the quick brown fox jumps over the lazy dog "
novel,key pressed,3,2017-06-21 14:57:31.155689,1.801744,"m"
novel,key pressed,3,2017-06-21 14:57:32.251458,1.095745,"f"
novel,key pressed,3,2017-06-21 14:57:32.765114,0.513630," "
novel,key pressed,3,2017-06-21 14:57:32.856533,0.091394,"g"
novel,key pressed,3,2017-06-21 14:57:34.050231,1.193671,"w"
novel,word typed,3,2017-06-21 14:57:34.050298,5.538909,"irl w"
novel,key pressed,3,2017-06-21 14:57:35.053150,1.002892,"s"
novel,key pressed,3,2017-06-21 14:57:36.215391,1.162217,"d"
novel,key pressed,3,2017-06-21 14:57:37.484465,1.268996,"p"
novel,key pressed,3,2017-06-21 14:57:38.757416,1.272943,"j"
novel,key pressed,3,2017-06-21 14:57:39.908522,1.151080,"b"
novel,word typed,3,2017-06-21 14:57:39.908595,5.858288,"ets b"
novel,key pressed,3,2017-06-21 14:57:41.206639,1.298051,"h"
novel,key pressed,3,2017-06-21 14:57:42.530012,1.323364,"q"
novel,sentence typed,3,2017-06-21 14:57:43.421164,13.178839,"my girl wove six dozen plaid jackets before he quit "
novel,key pressed,3,2017-06-21 14:57:44.398959,1.868897,"j"
novel,key pressed,3,2017-06-21 14:57:45.453573,1.054616,"q"
novel,key pressed,3,2017-06-21 14:57:46.614652,1.161049,"r"
novel,key pressed,3,2017-06-21 14:57:48.015556,1.400881,"t"
novel,key pressed,3,2017-06-21 14:57:49.606967,1.591326,"b"
novel,word typed,3,2017-06-21 14:57:49.607123,9.698513,"hat b"
novel,key pressed,3,2017-06-21 14:57:50.718866,1.111882,"g"
novel,key pressed,3,2017-06-21 14:57:51.634222,0.915323,"a"
novel,key pressed,3,2017-06-21 14:57:52.536533,0.902288,"e"
novel,sentence typed,3,2017-06-21 14:57:53.471815,10.050629,"jim quickly realized that beautiful gowns are expensive "
novel,key pressed,3,2017-06-21 14:57:54.232341,1.695783,"t"
novel,key pressed,3,2017-06-21 14:57:54.981794,0.749386,"q"
novel,key pressed,3,2017-06-21 14:57:56.133869,1.152053,"o"
novel,key pressed,3,2017-06-21 14:57:57.178212,1.044303,"g"
novel,key pressed,3,2017-06-21 14:57:58.205428,1.027191,"j"
novel,word typed,3,2017-06-21 14:57:58.205642,8.598505,"lin j"
novel,key pressed,3,2017-06-21 14:57:59.180318,0.974864,"a"
novel,key pressed,3,2017-06-21 14:58:00.195418,1.015076,"t"
novel,key pressed,3,2017-06-21 14:58:01.162131,0.966682,"l"
novel,key pressed,3,2017-06-21 14:58:02.199534,1.037383,"d"
novel,sentence typed,3,2017-06-21 14:58:03.103936,9.632093,"the quick onyx goblin jumps above the lazy dwarf "
novel,key pressed,3,2017-06-21 14:58:04.089884,1.890321,"c"
novel,key pressed,3,2017-06-21 14:58:05.109162,1.019246,"f"
novel,key pressed,3,2017-06-21 14:58:07.109243,2.000044,"b"
novel,key pressed,3,2017-06-21 14:58:08.609832,1.500575,"m"
novel,key pressed,3,2017-06-21 14:58:09.800197,1.190338,"v"
novel,word typed,3,2017-06-21 14:58:09.800322,11.594629,"any v"
novel,key pressed,3,2017-06-21 14:58:10.811245,1.011029,"e"
