participant ID,stimulus,mental complexity,distraction,pressed key,correct key,correct key pressed,reaction time in ms,timestamp
1,▼,attentive,True,down,down,True,804,2017-05-24 22:07:43
1,▼,attentive,True,down,down,True,449,2017-05-24 22:07:44
1,▼,attentive,True,down,down,True,383,2017-05-24 22:07:45
1,▼,attentive,True,down,down,True,323,2017-05-24 22:07:46
1,▼,attentive,True,down,down,True,313,2017-05-24 22:07:47
1,▼,attentive,True,down,down,True,322,2017-05-24 22:07:47
1,▼,attentive,True,down,down,True,327,2017-05-24 22:07:48
1,▲,attentive,True,down,up,False,267,2017-05-24 22:07:49
1,▲,attentive,True,up,up,True,528,2017-05-24 22:07:50
1,▲,attentive,True,up,up,True,428,2017-05-24 22:07:51
1,▲,attentive,True,up,up,True,504,2017-05-24 22:07:52
1,bird,pre-attentive,False,up,up,True,972,2017-05-24 22:07:53
1,butterfly,pre-attentive,False,up,up,True,849,2017-05-24 22:07:55
1,bird,pre-attentive,False,up,up,True,668,2017-05-24 22:07:56
1,dragon,pre-attentive,False,up,up,True,607,2017-05-24 22:07:57
1,car,pre-attentive,False,down,down,True,696,2017-05-24 22:07:58
1,guitar,pre-attentive,False,down,down,True,634,2017-05-24 22:07:59
1,airplane,pre-attentive,False,up,up,True,738,2017-05-24 22:08:01
1,Superman,pre-attentive,False,up,up,True,985,2017-05-24 22:08:02
1,dragon,pre-attentive,False,up,up,True,545,2017-05-24 22:08:03
1,bee,pre-attentive,False,up,up,True,604,2017-05-24 22:08:04
1,U.F.O.,pre-attentive,False,up,up,True,534,2017-05-24 22:08:05
1,▼,attentive,False,down,down,True,493,2017-05-24 22:08:06
1,▼,attentive,False,down,down,True,534,2017-05-24 22:08:07
1,▼,attentive,False,down,down,True,366,2017-05-24 22:08:08
1,▼,attentive,False,down,down,True,373,2017-05-24 22:08:09
1,▼,attentive,False,down,down,True,316,2017-05-24 22:08:10
1,▲,attentive,False,up,up,True,457,2017-05-24 22:08:11
1,▼,attentive,False,down,down,True,665,2017-05-24 22:08:12
1,▲,attentive,False,up,up,True,445,2017-05-24 22:08:13
1,▲,attentive,False,up,up,True,327,2017-05-24 22:08:14
1,▼,attentive,False,up,down,False,294,2017-05-24 22:08:15
1,▼,attentive,False,down,down,True,528,2017-05-24 22:08:16
1,U.F.O.,pre-attentive,True,up,up,True,765,2017-05-24 22:08:17
1,Superman,pre-attentive,True,up,up,True,1000,2017-05-24 22:08:18
1,bus,pre-attentive,True,down,down,True,758,2017-05-24 22:08:20
1,bird,pre-attentive,True,up,up,True,661,2017-05-24 22:08:21
1,you,pre-attentive,True,down,down,True,625,2017-05-24 22:08:22
1,guitar,pre-attentive,True,down,down,True,598,2017-05-24 22:08:23
1,cat,pre-attentive,True,down,down,True,528,2017-05-24 22:08:24
1,fly,pre-attentive,True,up,up,True,691,2017-05-24 22:08:25
1,cat,pre-attentive,True,down,down,True,607,2017-05-24 22:08:26
1,helicopter,pre-attentive,True,up,up,True,826,2017-05-24 22:08:28
1,cat,pre-attentive,True,down,down,True,552,2017-05-24 22:08:29
